gene,log2FC,U_stat,pvalue,qvalue,neg_log10_q,significant,direction
AES,-0.18767695313224309,7152.0,4.70316822811281e-09,4.1268262255926276e-07,6.3843838182209955,False,ns
MZB1,1.001206512230798,16605.0,4.809563674362281e-09,4.1959296883229556e-07,6.377171797940157,True,up_COPD
MGAT2,0.20786373428811267,16601.0,4.9550244410252706e-09,4.298129772272206e-07,6.3667204761105385,False,ns
RIPK4,-0.3331430491969325,7161.0,5.02939628138054e-09,4.337854292690715e-07,6.362725039906694,False,ns
CA3,0.850363650436984,16593.0,5.258977849665071e-09,4.5102420202212304e-07,6.345800153193773,False,ns
TTC39C,0.26871921254251774,16592.0,5.298222555812067e-09,4.518371820068942e-07,6.3450180335396285,False,ns
LAMC2,-0.40058406790030965,7171.0,5.417657838294355e-09,4.568905031649472e-07,6.340187869009131,False,ns
SPOP,-0.15355005107878839,7171.0,5.417673950572496e-09,4.568905031649472e-07,6.340187869009131,False,ns
USP54,-0.2916484751798496,7172.0,5.458086468143486e-09,4.577555391514813e-07,6.3393663917376415,False,ns
PGM1,-0.296415820499659,7176.0,5.622605919844217e-09,4.6896240584195173e-07,6.328861970909214,False,ns
LAMA3,-0.3740791025585999,7181.0,5.835036906191907e-09,4.840210941857549e-07,6.315135710899296,False,ns
UNC13B,-0.31247147269053954,7193.0,6.3773518753312584e-09,5.261315297148288e-07,6.2789056712671645,False,ns
PIP4K2A,0.1754210244665959,16566.0,6.424692407364524e-09,5.271720580745593e-07,6.27804761689968,False,ns
BLNK,0.39973649862850635,16558.0,6.815902232066306e-09,5.503510820921917e-07,6.259360175284118,False,ns
MBD4,0.18415702573098436,16559.0,6.76579977189185e-09,5.503510820921917e-07,6.259360175284118,False,ns
CRIP2,-0.25369349931115437,7202.0,6.8159422551602135e-09,5.503510820921917e-07,6.259360175284118,False,ns
FBXO41,0.2794925625392537,16556.0,6.917313774046736e-09,5.555810745504204e-07,6.255252556595885,False,ns
CTNND2,-0.5450579882403792,7213.0,7.3918791774142665e-09,5.905722416481504e-07,6.22872696980295,False,ns
LAMA5,-0.19966747873856328,7216.0,7.557050860191778e-09,6.006074976843518e-07,6.22140925058756,False,ns
BFAR,-0.1453416978069555,7218.0,7.669101077293785e-09,6.063383039235399e-07,6.217284995418053,False,ns
HS3ST2,0.7709266939314201,16541.0,7.725764141984844e-09,6.076533661934194e-07,6.216344091910031,False,ns
SLC16A12,-0.6864790433084336,7226.0,8.13379603154889e-09,6.364485760768667e-07,6.196236680821432,False,ns
RPL29P2,0.17352000528792466,16533.0,8.193722933804514e-09,6.378498160777052e-07,6.195281565364627,False,ns
AGAP1,-0.18358079417153306,7229.0,8.315012198305402e-09,6.439892100524286e-07,6.191121409121472,False,ns
TMEM38B,0.32313033587605844,16527.0,8.562675883704709e-09,6.579879653441259e-07,6.181782049596432,False,ns
SPON1,0.32676562755980676,16526.0,8.62577244866558e-09,6.579879653441259e-07,6.181782049596432,False,ns
RNASE6,0.37419980816887133,16526.0,8.625797437646974e-09,6.579879653441259e-07,6.181782049596432,False,ns
